timestamps,open,high,low,close,volume,amount
2023-05-04 11:30:00+00:00,1908.81,1909.6,1902.92,1904.67,5566.6426,10609810.943574
2023-05-04 12:00:00+00:00,1904.67,1906.11,1901.45,1905.05,7189.5508,13692827.522535
2023-05-04 12:30:00+00:00,1905.04,1908.2,1893.49,1898.26,12000.1231,22788896.088806
2023-05-04 13:00:00+00:00,1898.27,1900.5,1886.0,1892.19,12537.6179,23741304.219713
2023-05-04 13:30:00+00:00,1892.19,1893.2,1876.99,1885.82,44022.6585,82904063.785145
2023-05-04 14:00:00+00:00,1885.81,1891.12,1884.2,1887.42,9658.187,18229509.786971
2023-05-04 14:30:00+00:00,1887.43,1891.65,1885.24,1886.59,9163.6913,17307076.206426
2023-05-04 15:00:00+00:00,1886.59,1893.0,1885.81,1889.36,10184.7354,19252702.507205
2023-05-04 15:30:00+00:00,1889.37,1889.41,1885.6,1885.66,11296.3007,21319466.239222
2023-05-04 16:00:00+00:00,1885.66,1891.33,1879.47,1889.98,13151.4672,24786664.141469
2023-05-04 16:30:00+00:00,1889.97,1890.36,1881.68,1886.2,5198.7032,9805429.969893
2023-05-04 17:00:00+00:00,1886.2,1887.8,1880.6,1882.92,5905.9034,11130034.675995
2023-05-04 17:30:00+00:00,1882.92,1883.49,1878.15,1882.39,6573.5725,12360885.605005
2023-05-04 18:00:00+00:00,1882.39,1883.25,1870.9,1873.57,12371.8563,23212650.486391
2023-05-04 18:30:00+00:00,1873.57,1873.94,1867.4,1872.82,12121.4339,22678662.729747
2023-05-04 19:00:00+00:00,1872.81,1875.22,1866.71,1873.99,9227.1941,17273155.241309
2023-05-04 19:30:00+00:00,1874.0,1877.79,1873.39,1876.65,6626.9767,12431667.497085
2023-05-04 20:00:00+00:00,1876.66,1877.32,1873.41,1876.45,3023.5007,5668894.467043
2023-05-04 20:30:00+00:00,1876.45,1879.6,1874.67,1877.57,6032.6648,11322600.776954
2023-05-04 21:00:00+00:00,1877.56,1879.29,1870.64,1873.78,3772.9361,7071881.891761
2023-05-04 21:30:00+00:00,1873.77,1876.69,1871.32,1876.68,2736.5672,5128417.386402
2023-05-04 22:00:00+00:00,1876.68,1877.14,1869.75,1872.11,3424.8028,6416215.165053
2023-05-04 22:30:00+00:00,1872.11,1874.46,1870.75,1871.29,3157.8876,5912992.868244
2023-05-04 23:00:00+00:00,1871.3,1877.02,1870.92,1875.78,3040.0021,5698898.260457
2023-05-04 23:30:00+00:00,1875.79,1877.33,1874.2,1877.07,2527.9488,4742141.861352
2023-05-05 00:00:00+00:00,1877.07,1878.25,1875.65,1877.91,3741.2577,7021295.678267
2023-05-05 00:30:00+00:00,1877.9,1882.0,1877.89,1879.39,4847.1903,9112145.294345
